Country,1.4.1_SP_ACS_BSRVH2O__ALLAREA__2019,1.4.1_SP_ACS_BSRVH2O__ALLAREA__Delta,1.4.1_SP_ACS_BSRVSAN__ALLAREA__2019,1.4.1_SP_ACS_BSRVSAN__ALLAREA__Delta,3.2.1_SH_DYN_IMRT_FEMALE__<1Y_2019,3.2.1_SH_DYN_IMRT_FEMALE__<1Y_Delta,3.2.1_SH_DYN_IMRT_BOTHSEX__<1Y_2019,3.2.1_SH_DYN_IMRT_BOTHSEX__<1Y_Delta,3.2.1_SH_DYN_IMRT_MALE__<1Y_2019,3.2.1_SH_DYN_IMRT_MALE__<1Y_Delta,3.2.1_SH_DYN_IMRTN_BOTHSEX__<1Y_2019,3.2.1_SH_DYN_IMRTN_BOTHSEX__<1Y_Delta,3.2.1_SH_DYN_IMRTN_FEMALE__<1Y_2019,3.2.1_SH_DYN_IMRTN_FEMALE__<1Y_Delta,3.2.1_SH_DYN_IMRTN_MALE__<1Y_2019,3.2.1_SH_DYN_IMRTN_MALE__<1Y_Delta,3.2.1_SH_DYN_MORT_MALE__<5Y_2019,3.2.1_SH_DYN_MORT_MALE__<5Y_Delta,3.2.1_SH_DYN_MORT_BOTHSEX__<5Y_2019,3.2.1_SH_DYN_MORT_BOTHSEX__<5Y_Delta,3.2.1_SH_DYN_MORT_FEMALE__<5Y_2019,3.2.1_SH_DYN_MORT_FEMALE__<5Y_Delta,3.2.1_SH_DYN_MORTN_BOTHSEX__<5Y_2019,3.2.1_SH_DYN_MORTN_BOTHSEX__<5Y_Delta,3.2.1_SH_DYN_MORTN_MALE__<5Y_2019,3.2.1_SH_DYN_MORTN_MALE__<5Y_Delta,3.2.1_SH_DYN_MORTN_FEMALE__<5Y_2019,3.2.1_SH_DYN_MORTN_FEMALE__<5Y_Delta,3.2.2_SH_DYN_NMRT_BOTHSEX__<1M_2019,3.2.2_SH_DYN_NMRT_BOTHSEX__<1M_Delta,3.2.2_SH_DYN_NMRTN_BOTHSEX__<1M_2019,3.2.2_SH_DYN_NMRTN_BOTHSEX__<1M_Delta,3.3.2_SH_TBS_INCD____2019,3.3.2_SH_TBS_INCD____Delta,6.2.1_SH_SAN_DEFECT__ALLAREA__2019,6.2.1_SH_SAN_DEFECT__ALLAREA__Delta,6.6.1_EN_LKRV_PWAC____2019,6.6.1_EN_LKRV_PWAC____Delta,6.6.1_EN_LKRV_PWAN____2019,6.6.1_EN_LKRV_PWAN____Delta,6.6.1_EN_LKRV_PWAP____2019,6.6.1_EN_LKRV_PWAP____Delta,6.6.1_EN_LKRV_SWAC____2019,6.6.1_EN_LKRV_SWAC____Delta,6.6.1_EN_LKRV_SWAN____2019,6.6.1_EN_LKRV_SWAN____Delta,6.6.1_EN_LKRV_SWAP____2019,6.6.1_EN_LKRV_SWAP____Delta,6.6.1_EN_RSRV_MNWAN____2019,6.6.1_EN_RSRV_MNWAN____Delta,6.6.1_EN_RSRV_MNWAP____2019,6.6.1_EN_RSRV_MNWAP____Delta,6.6.1_EN_RSRV_MXWAN____2019,6.6.1_EN_RSRV_MXWAN____Delta,6.6.1_EN_RSRV_MXWAP____2019,6.6.1_EN_RSRV_MXWAP____Delta,7.1.1_EG_ACS_ELEC__ALLAREA__2019,7.1.1_EG_ACS_ELEC__ALLAREA__Delta,7.1.1_EG_ACS_ELEC__URBAN__2019,7.1.1_EG_ACS_ELEC__URBAN__Delta,7.2.1_EG_FEC_RNEW____2019,7.2.1_EG_FEC_RNEW____Delta,7.3.1_EG_EGY_PRIM____2019,7.3.1_EG_EGY_PRIM____Delta,8.1.1_NY_GDP_PCAP____2019,8.1.1_NY_GDP_PCAP____Delta,8.4.2_EN_MAT_DOMCMPC____2019,8.4.2_EN_MAT_DOMCMPC____Delta,8.4.2_EN_MAT_DOMCMPG____2019,8.4.2_EN_MAT_DOMCMPG____Delta,8.4.2_EN_MAT_DOMCMPT____2019,8.4.2_EN_MAT_DOMCMPT____Delta,9.2.1_NV_IND_MANF____2019,9.2.1_NV_IND_MANF____Delta,9.2.1_NV_IND_MANF_CD____2019,9.2.1_NV_IND_MANF_CD____Delta,9.2.1_NV_IND_MANFPC____2019,9.2.1_NV_IND_MANFPC____Delta,10.7.4_SM_POP_REFG_OR____2019,10.7.4_SM_POP_REFG_OR____Delta,10.a.1_TM_TRF_ZERO____2019,10.a.1_TM_TRF_ZERO____Delta,11.6.2_EN_ATM_PM25__URBAN__2019,11.6.2_EN_ATM_PM25__URBAN__Delta,11.6.2_EN_ATM_PM25__ALLAREA__2019,11.6.2_EN_ATM_PM25__ALLAREA__Delta,11.6.2_EN_ATM_PM25__TSUB__2019,11.6.2_EN_ATM_PM25__TSUB__Delta,11.6.2_EN_ATM_PM25__RURAL__2019,11.6.2_EN_ATM_PM25__RURAL__Delta,15.1.1_AG_LND_FRST____2019,15.1.1_AG_LND_FRST____Delta,15.1.1_AG_LND_FRSTN____2019,15.1.1_AG_LND_FRSTN____Delta,15.1.1_AG_LND_TOTL____2019,15.1.1_AG_LND_TOTL____Delta,15.1.2_ER_PTD_TERR____2019,15.1.2_ER_PTD_TERR____Delta,15.2.1_AG_LND_FRSTBIOPHA____2019,15.2.1_AG_LND_FRSTBIOPHA____Delta,15.2.1_AG_LND_FRSTCERT____2019,15.2.1_AG_LND_FRSTCERT____Delta,15.5.1_ER_RSK_LST____2019,15.5.1_ER_RSK_LST____Delta,15.6.1_ER_CBD_ORSPGRFA____2019,15.6.1_ER_CBD_ORSPGRFA____Delta,15.6.1_ER_CBD_PTYPGRFA____2019,15.6.1_ER_CBD_PTYPGRFA____Delta,15.6.1_ER_CBD_SMTA____2019,15.6.1_ER_CBD_SMTA____Delta,17.11.1_TX_EXP_GBMRCH____2019,17.11.1_TX_EXP_GBMRCH____Delta,17.11.1_TX_IMP_GBMRCH____2019,17.11.1_TX_IMP_GBMRCH____Delta,17.12.1_TM_TAX_DMFN____2019,17.12.1_TM_TAX_DMFN____Delta,17.12.1_TM_TAX_DPRF____2019,17.12.1_TM_TAX_DPRF____Delta,17.13.1_NY_GDP_MKTP_KD_ZG____2019,17.13.1_NY_GDP_MKTP_KD_ZG____Delta,17.13.1_PA_NUS_ATLS____2019,17.13.1_PA_NUS_ATLS____Delta,17.13.1_TG_VAL_TOTL_GD_ZS____2019,17.13.1_TG_VAL_TOTL_GD_ZS____Delta,17.3.1_GF_FRN_FDI____2019,17.3.1_GF_FRN_FDI____Delta,Required Imputes,Percent Imputed,Population Index,Population,Class Label
Albania,94.75822,0.32183,99.18307,0.20942,7.5,0,8.4,0.1,9.2,0.1,250,-6,108,-2,142,-4,10.1,0.1,9.4,0.1,8.6,0,284,-7,158,-4,126,-3,7.1,0.1,212,1,16,-2,0,-0.02623,6.11782,0.28438,237.98207,0.63775,0.00869,3.00E-05,23.08673,2.39322,91.75472,1.78402,0.00335,7.00E-05,76.20553,0.43349,0.00278,0.00001,98.42195,2.36139,0.00359,8.00E-05,100,0,100,0,40.11,2.28,2.51,-0.08,2.2,-1.9,1.773030556,0.014256667,0.393212778,-0.005727222,5107948.657,37867.15238,6.56,0.21,6.26,0.13,296.14,15.79,520.47741,52.79644,73.47775857,3.266058571,16.57698,-3.51775,16.27997,-3.47811,16.39856,-3.57157,15.65032,-3.41653,28.79,0,788.9,0,2740,0,48.64983,0,126.1858757,0.199265537,0,0,0.84397,-0.00186,0,0,1,0,1,0,0.01428,-0.0004,0.03049,0.00059,4.324162857,0.004538571,2.757201429,0.008591429,2.08806,-1.9313,109.8508,1.8616,55.92192,-2.10625,1287.96699,-1.72206,2,0.015873016,138,2842321,0
Angola,56.88304,0.29129,51.39362,0.27288,44.6,-1.7,50.4,-1.6,55.7,-1.8,63492,-704,27883,-371,35609,-333,80.8,-3.2,75,-3,68.8,-2.6,93053,-1560,50875,-851,42178,-709,27.9,-0.6,35771,13,351,-4,18.31929,-0.3591,1.72611,0.70759,583.71634,4.06019,0.00047,1.00E-05,87.94471,31.5556,4257.08678,714.75774,0.00341,0.00057,276.9171,7.06552,0.00022,0,491.15037,46.98308,0.00039,0.00003,45.6,0.3,72.2,6.9,54.39,-1.55,2.92,-0.09,-4.01,0.65,0.747872778,0.045721667,0.218159444,0.022851667,23801262.1,2168132.532,6.77,-0.31,6.14,0.01,231.81,-20.9,24.84565,-1.06235,41.54927286,-2.91542881,32.32399,1.19233,27.16477,1.31241,28.43101,1.15204,23.34834,0.98251,53.87,-0.45,67162.44,-555.07,124670,0,28.05395,0,30.3,0,0,0,0.92852,-2.00E-05,0,0,1,0,27,7,0.18263,-0.02586,0.07306,-0.00665,3.458078333,-0.006458333,1.239821667,-0.003671667,-0.7,0.61631,437.611,108.1757,70.48568,-2.215,-4098.47875,2357.59766,0,0,42,35588987,1
Argentina,88.03368258,0.342915385,76.8657368,0.513841436,6.5,-0.7,7.6,-0.8,8.7,-0.8,5086,-737,2120,-326,2966,-411,9.7,-0.9,8.6,-0.9,7.4,-0.8,5778,-817,3345,-455,2433,-362,5.9,-0.2,3888,-200,29,2,6.901644629,-0.358239371,-9.54319,2.68015,26850.47433,795.55366,0.00981,0.00029,32.75141,1.41253,37802.71526,402.23583,0.01381,0.00014,3292.81828,32.65493,0.0012,1.00E-05,3624.08482,21.69907,0.00132,0,100,0,100,0,10.74,0.22,3.35,0.04,-2.73,0.67,2.840141111,-0.106597778,0.205607222,-0.001146667,127183431.6,-3537317.217,12.76,-0.57,12.94,0.34,1767.52,-130.65,0.22045,-0.03077,63.64386,-4.534328571,11.23025,-0.52364,12.04087,-0.55986,11.97366,-0.57151,12.84685,-0.59566,10.48,-0.04,28681,-110,273669,0,32.26768,0.00123,185.45,0.28,534.2,6.57,0.84259,-0.00019,1,0,1,0,980,17,0.34246,0.02643,0.25403,-0.07637,5.591185714,0.170517143,5.343537143,-0.000821429,-2.00086,0.61654,48.1479,20.0529,25.51398,1.26508,6663.06211,-5053.52146,6,0.047619048,33,45510318,1
Australia,99.96985,-4.00E-05,100,0.00027,2.9,0,3.2,0,3.5,0,995,-12,439,-5,556,-7,4.1,0,3.8,0,3.4,0,1171,-12,655,-7,516,-5,2.4,0.1,721,-29,6.8,0.2,0,0,-15.60646,-2.70243,4617.57159,-147.86261,0.0006,-2.00E-05,-6.22053,1.83474,52876.3437,1034.49682,0.00687,0.00013,3389.51667,-40.14441,0.00044,-1.00E-05,4095.56661,-4.56361,0.00053,0,100,0,100,0,10.06,0.46,4.33,-0.07,-1.54,-2.12,6.852786111,0.266692222,0.129028889,0.006870556,172712175,8730586.346,5.6,-0.1,5.63,0.02,2955.6,-98.77,0.0783,0.03857,55.51784857,1.177011429,9.11918,1.87692,8.93323,1.8235,9.19453,1.88198,7.93744,1.53741,17.42,0,134005.1,0,769202,0,57.22695,1.21304,83.98,0,11532.52,2633.54,0.82206,-0.00251,1,0,1,0,667,39,1.42527,0.11015,1.14577,-0.04192,6.55087,0.432011429,4.21342,0.076002857,2.1714,-0.71165,1.3982,0.1081,35.37991,0.8992,39406.13428,-28915.87718,0,0,55,26177414,0
Austria,100,0,99.97271,-1.00E-04,2.7,0,2.9,0,3.2,0,249,-3,110,-1,139,-2,3.9,0,3.6,0,3.2,0,305,0,171,0,134,0,2.3,0.1,191,2,6,-0.1,0,0,1.58828,-0.02964,554.28878,-0.16175,0.00672,0,39.8013,3.44681,88.18332,2.17417,0.00107,3.00E-05,56.30001,-0.03583,0.00068,0,60.57443,0.07761,0.00073,0,100,0,100,0,33.98,-0.1,2.82,0,1.07,-0.86,2.784704444,-0.003932222,0.060112778,-0.000502778,24937319.75,142488.2227,17.49,-0.09,16.59,-0.24,8153.6,42.27,0.20222,-0.0687,68.30855571,0.29962,12.41997,-1.24166,11.50796,-1.16771,11.24438,-1.20374,10.33679,-1.07966,47.21,0.05,3895.56,3.59,8252,0,67.90795,0.03277,171.5,0.8,3059.34,-67.04,0.89494,4.00E-05,0,0,1,0,609,31,0.93966,-0.00572,0.95544,-0.02202,5.425475,-0.010771667,3.776836667,-1.06511,1.51739,-0.908,0.89328,0.04651,81.7388,-1.45776,3034.64239,-2355.12675,0,0,100,8939617,0
Armenia,99.92817,0.01334,93.85787,0.16461,9.4,-0.5,10.5,-0.6,11.6,-0.6,391,-34,166,-14,225,-20,13,-0.7,11.8,-0.6,10.6,-0.5,444,-38,255,-23,189,-15,6.2,-0.4,228,-21,26,-5,0.01071,-2.00E-05,2.14281,0.03934,1315.89478,0.50677,0.04622,2.00E-05,39.13165,2.09866,34.43393,0.5194,0.00121,2.00E-05,14.9997,-0.52387,0.00053,-2.00E-05,28.59886,0.23453,0.001,0,100,0.1,100,0.1,10.34,-0.79,3.53,0.02,8.24,2.47,2.687703333,0.085939444,0.617873889,-0.024308333,7949492.328,269761.6548,11.42,0.19,11.71,0.44,521.21,47.9,388.24732,-0.51971,76.441938,1.25354,36.23722,-3.13606,34.12674,-2.95956,33.23581,-2.91309,28.4066,-2.48903,11.54,-0.01,328.68,-0.21,2847,0,22.5695,0,80.72,0,0,0,0.82911,0,0,0,1,0,165,0,0.01389,0.00155,0.02851,0.00347,6.411852,0.024932,3.18303,0.019568,7.6,2.4,480.4451,-2.5428,59.87096,0.67178,100.94608,-165.87888,0,0,140,2780469,1
Belgium,100,0,99.4862,1.00E-05,3,0,3.4,0,3.8,0,396,-4,170,-1,226,-3,4.6,0,4.1,0,3.6,0,483,-4,275,-3,208,-1,2.4,0,279,0,8.9,-0.3,0,0,3.63989,0.1367,116.33486,0.15345,0.00384,0,62.35492,8.20247,40.23289,2.03264,0.00133,0.00007,7.60662,-0.07805,0.00025,0,9.01357,0.04744,0.0003,0,100,0,100,0,10.2,-0.45,3.85,0.03,1.69,0.47,3.255722222,-0.070035556,0.076267778,-0.002607222,37568829.26,-618108.8811,12.32,0.22,12.35,0.18,5298.19,181.07,0.29459,-0.14095,57.77566714,-0.303501429,11.56679,-0.92449,11.25612,-0.90492,11.08471,-0.89696,9.90636,-0.8209,22.76,0,689.3,0,3028,0,75.88409,0.03795,172.3,0,328.73,5.04,0.98362,0.00013,0,0,1,0,540,42,2.35008,-0.04495,2.21813,-0.07862,5.640281667,-0.086735,4.110773333,-0.945458333,2.24086,0.44791,0.89328,0.04651,163.44411,-6.51771,1751.97811,-33961.29536,0,0,82,11655930,0
Bolivia (Plurinational State of),92.56595,0.52711,63.81631,1.82852,19.4,-0.8,21.7,-0.9,23.8,-1,5678,-230,2491,-104,3187,-126,29.1,-1.1,26.6,-1.1,24,-1.1,6968,-294,3885,-159,3083,-135,14.2,-0.6,3746,-150,106,-2,10.87833,-1.0908,-20.83443,-2.57426,9722.17484,-316.13972,0.00897,-0.0003,41.16288,23.81034,13641.53608,2300.95588,0.01259,0.00212,17.34745,0.63434,0.00002,0,34.08864,1.73226,0.00003,0,95.1,2.3,99.5,0,13.52,-0.81,3.87,-0.07,0.74,-1.94,2.509743333,0.06786,0.756545556,0.014592778,28894940.39,1171893.537,10.52,0.1,10.49,0.15,341.02,5.71,4.33285,0.0396,72.21496167,-4.727798333,26.88724,0.57785,25.23416,0.60059,24.55452,0.57161,24.55206,0.60824,47.11,-0.2,51033.76,-219.48,108330,0,45.44902,0,131.26,0,482.41,-499.45,0.88147,-0.00023,1,0,1,0,342,19,0.04605,0.00019,0.0506,0.00016,5.629103333,1.26199,4.041165,1.260528333,2.21671,-2.00691,6.91,0,45.3377,-1.72635,-216.63684,-519.00562,0,0,80,12224110,1
Brazil,98.93554,0.25605,89.2988,0.80826,11.8,-0.2,13.4,-0.1,14.8,-0.3,38991,-1026,16862,-426,22129,-600,16.6,-0.2,14.9,-0.3,13.2,-0.2,43702,-1100,24773,-624,18929,-476,8.9,-0.2,25815,-1328,46,0,0.52185,-0.28657,-2.00755,-0.5056,61310.55896,-316.33904,0.00734,-3.00E-05,10.71912,2.45626,44265.34855,982.01067,0.0053,0.00012,23296.15332,-278.17953,0.00279,-3.00E-05,28088.18285,-153.6449,0.00336,-2.00E-05,99.8,0.1,100,0.1,47.58,0.63,3.94,0.01,0.45,-0.53,3.438783889,0.101216111,0.401004444,0.010325,725753487.5,26635300.72,10.25,-0.17,10.33,-0.2,880.7,-10.57,0.65815,0.16621,52.09084429,-4.442772857,11.25509,-0.22027,10.94008,-0.21094,10.09071,-0.1575,9.56659,-0.17503,59.56,-0.15,497798.5,-1252.9,835814,0,43.74911,0,171.78,0.15,7504.42,598.95,0.9003,-0.00023,1,1,1,0,531,10,1.16295,-0.02323,0.9989,0.02588,5.689021429,0.243097143,5.450368571,0.306252857,1.22078,-0.56289,3.9445,0.2907,22.11577,-0.04082,65386.04132,5583.63483,0,0,7,215313498,1
Bulgaria,99.14488,-0.02885,86.02472,0.01038,5.1,-0.2,5.6,-0.2,6.1,-0.3,347,-24,153,-10,194,-14,7.3,-0.3,6.7,-0.3,6.1,-0.2,420,-29,234,-17,186,-12,3.3,-0.2,201,-16,21,-2,0,0,6.62648,0.28455,426.02225,1.13689,0.00392,1.00E-05,36.22141,10.52086,139.45066,10.77026,0.00128,0.00009,255.89263,0.27829,0.00236,0.00001,292.99622,1.29254,0.0027,0.00001,99.2,0.5,99.4,0.3,19.32,-0.27,4.73,-0.25,5,1.38,3.341767222,0.060807778,0.403515,-0.009027222,23392750.98,256706.5552,13.41,-0.35,13.38,-0.17,1092.07,24.94,8.06176,-0.68857,68.74172286,-3.239075714,18.55923,-3.37924,17.29031,-3.10608,18.49136,-3.32572,16.52179,-2.95651,35.74,0.12,3880,13,10856,0,99.2754,0.08134,176.68,3.81,1233.79,-249.59,0.93551,-1.00E-05,0,0,1,0,246,8,0.17534,0.00338,0.19476,0.00375,6.207968333,-0.028043333,3.104958333,-0.798305,4.03814,1.35338,1.747,0.09,103.02851,-4.67069,1835.27019,692.65772,0,0,110,6781953,1
